segment,total_spend,promo_pct,lifetime_total_distinct_products,distinct_stores_visited,tenure_years,age,kids_home,teens_home,share_groceries,share_electronics,share_vegetables,share_nonalcohol_drinks,share_alcohol_drinks,share_meat,share_fish,share_hygiene,share_videogames,share_petfood,n_customers
Engaged Family Provisioner,19029.0862,0.2746,318.6313,3.8215,14.0354,59.5998,1.8468,1.6279,0.4245,0.2025,0.0309,0.0434,0.0611,0.068,0.0668,0.0611,0.0192,0.0226,594.0
Engaged Generalist,38908.0372,0.3159,275.4436,3.9207,12.8297,57.8979,1.5555,1.342,0.7413,0.0955,0.0167,0.0183,0.0261,0.0291,0.0253,0.0278,0.0098,0.01,8336.0
Promo Hunter,14916.5928,0.7073,84.0844,3.9274,9.2528,50.7589,0.8976,0.5562,0.6793,0.0685,0.0341,0.0197,0.0317,0.0546,0.0316,0.0398,0.0167,0.0239,6999.0
Routine Family Provisioner,11559.1822,0.1751,147.558,2.53,11.0424,57.5795,0.9834,0.9865,0.4271,0.1298,0.0472,0.0419,0.0521,0.0859,0.0773,0.0736,0.0253,0.0398,966.0
Routine Generalist,22233.9703,0.1707,107.7647,2.3446,10.7199,52.947,0.9761,0.8222,0.7524,0.0621,0.034,0.0159,0.0223,0.0296,0.0244,0.0336,0.0095,0.0162,8075.0
Routine Tech,23277.9578,0.2478,103.1055,1.4681,8.7299,56.505,0.2599,0.3228,0.3406,0.4025,0.0097,0.0254,0.0498,0.0401,0.0375,0.0121,0.0688,0.0135,3147.0
Routine Young Parents,15188.9692,0.1318,103.3847,3.2857,10.2351,57.425,1.0297,0.8661,0.5639,0.0984,0.1285,0.0378,0.0211,0.008,0.0072,0.0978,0.0131,0.0242,4921.0
POPULATION,23571.2827,0.3246,148.9146,3.1663,10.7487,54.9936,1.0613,0.8753,0.6514,0.1142,0.0418,0.0227,0.0293,0.0349,0.0271,0.0426,0.0179,0.018,33038.0
