segment,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,n_baskets
Engaged Family Provisioner,"cereals, fresh bread",cooking oil,0.08588957055214724,0.1015058561070831,0.020078081427774678,0.23376623376623373,2.30298273155416,1.0,0.011359787038209258,1.172611001351773,0.6189410887397464,0.11999999999999998,0.147202270107298,0.21578421578421575,36
Engaged Family Provisioner,cooking oil,"cereals, fresh bread",0.1015058561070831,0.08588957055214724,0.020078081427774678,0.1978021978021978,2.30298273155416,1.0,0.011359787038209258,1.139507521640474,0.6296985999034416,0.11999999999999998,0.12242790766280696,0.21578421578421575,36
Engaged Family Provisioner,"cereals, cooking oil",fresh bread,0.03792526491912995,0.23480200780814278,0.020078081427774678,0.5294117647058822,2.2547156629872847,1.0,0.011173153078107243,1.6260457334076963,0.5784219001610305,0.07947019867549669,0.38501114731606917,0.30746122677099336,36
Engaged Family Provisioner,fresh bread,"cereals, cooking oil",0.23480200780814278,0.03792526491912995,0.020078081427774678,0.0855106888361045,2.2547156629872847,1.0,0.011173153078107243,1.0520349700494709,0.7272432782636863,0.07947019867549669,0.04946125512065819,0.30746122677099336,36
Engaged Family Provisioner,eggs,"bacon, butter",0.21751254880089235,0.05465699944227551,0.026213050752928055,0.12051282051282053,2.2048927263212983,1.0,0.014324467494429756,1.0748797965525148,0.6983667217664276,0.10657596371882089,0.0696634142651842,0.3000523286237572,47
Engaged Family Provisioner,"bacon, butter",eggs,0.05465699944227551,0.21751254880089235,0.026213050752928055,0.4795918367346939,2.204892726321298,1.0,0.014324467494429756,1.5036033375982853,0.5780581183706773,0.10657596371882089,0.3349309788063479,0.3000523286237572,47
Engaged Family Provisioner,"eggs, milk",cereals,0.03904071388733965,0.23982152816508645,0.02063580591187953,0.5285714285714286,2.204019933554817,1.0,0.011273002246761822,1.612499788740726,0.5684773572179259,0.07991360691144708,0.3798448799916151,0.3073089700996678,37
Engaged Family Provisioner,cereals,"eggs, milk",0.23982152816508645,0.03904071388733965,0.02063580591187953,0.08604651162790697,2.204019933554817,1.0,0.011273002246761822,1.0514312799705954,0.7186254486327852,0.07991360691144708,0.04891549352805409,0.3073089700996678,37
Engaged Family Provisioner,"bacon, eggs",butter,0.054099274958170664,0.22085889570552147,0.026213050752928055,0.4845360824742268,2.193871706758305,1.0,0.014264744627197111,1.5115337423312885,0.5753086109995986,0.10538116591928251,0.33842032632518876,0.30161147558054774,47
Engaged Family Provisioner,butter,"bacon, eggs",0.22085889570552147,0.054099274958170664,0.026213050752928055,0.11868686868686869,2.193871706758305,1.0,0.014264744627197111,1.0732856364371473,0.6984419500753896,0.10538116591928251,0.06828157756813416,0.30161147558054774,47
Engaged Family Provisioner,"cereals, milk",eggs,0.04350250976017847,0.21751254880089235,0.02063580591187953,0.47435897435897434,2.180834976988823,1.0,0.011173464134707415,1.488634663256839,0.5660862028208967,0.08584686774941995,0.3282435075022388,0.2846153846153846,37
Engaged Family Provisioner,eggs,"cereals, milk",0.21751254880089235,0.04350250976017847,0.02063580591187953,0.09487179487179487,2.180834976988823,1.0,0.011173464134707415,1.056753601114817,0.6919727995993141,0.08584686774941995,0.053705614113777375,0.2846153846153846,37
Engaged Family Provisioner,"eggs, oatmeal",butter,0.04182933630786392,0.22085889570552147,0.020078081427774678,0.4799999999999999,2.173333333333333,1.0,0.010839700402724979,1.4983482774893817,0.5634458672875436,0.08275862068965517,0.33259842519685034,0.2854545454545454,36
Engaged Family Provisioner,butter,"eggs, oatmeal",0.22085889570552147,0.04182933630786392,0.020078081427774678,0.0909090909090909,2.173333333333333,1.0,0.010839700402724979,1.0539877300613498,0.6929133858267718,0.08275862068965517,0.05122235157159486,0.2854545454545454,36
Engaged Family Provisioner,"butter, eggs",bacon,0.08365867261572783,0.14445064138315672,0.026213050752928055,0.31333333333333335,2.169137709137709,1.0,0.01412850183632264,1.2459456678886067,0.5881949210706932,0.1298342541436464,0.19739678400695354,0.2474002574002574,47
Engaged Family Provisioner,bacon,"butter, eggs",0.14445064138315672,0.08365867261572783,0.026213050752928055,0.18146718146718147,2.169137709137709,1.0,0.01412850183632264,1.1194924707194647,0.6299897361924048,0.1298342541436464,0.10673807448000995,0.2474002574002574,47
Engaged Family Provisioner,"bacon, fresh bread",butter,0.05075292805354155,0.22085889570552147,0.023982152816508645,0.47252747252747257,2.13949938949939,1.0,0.012772917172781678,1.4771216768916158,0.5610772552127458,0.09684684684684686,0.32300770096045694,0.2905566655566656,43
Engaged Family Provisioner,butter,"bacon, fresh bread",0.22085889570552147,0.05075292805354155,0.023982152816508645,0.10858585858585859,2.13949938949939,1.0,0.012772917172781678,1.0648777351014094,0.6835744369163158,0.09684684684684686,0.06092505549027289,0.2905566655566656,43
Engaged Family Provisioner,"fresh bread, honey",eggs,0.04852203011712214,0.21751254880089235,0.022308979364194088,0.45977011494252873,2.1137636310050105,1.0,0.01175482892042519,1.4484342181770717,0.5537807737397421,0.09153318077803203,0.3095992987113001,0.28116710875331563,40
